committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00580100,MAKE AMERICA GREAT AGAIN PAC,2023,MY,202307319584587079,21B,SB21B.948991,1720243,ORG,ORGANIZATION,,,"CHAIN BRIDGE BANK, N.A.",VA,,,,,BANK FEES,,,2023-06-15 00:00:00,1.16,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-08-05 03:36:27,,,,0.00,,,,,,,,,,,,Q,,U,F3X,4073120231758347281,MCLEAN,22101,OTHER,,2024,SB,4080420231763316052,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584587079,Other Federal Operating Expenditures,,,,,,
C00580100,MAKE AMERICA GREAT AGAIN PAC,2023,MY,202307319584587060,21B,SB21B.938203.3,1720243,ORG,ORGANIZATION,,,AMAZON,WA,,,,,AMEX PMT: SUBSCRIPTIONS,X,,2023-01-17 00:00:00,5.30,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-08-05 03:36:27,,SB21B.938203,SB21B,0.00,,,,,,,,,,,,Q,,U,F3X,4073120231758347281,SEATTLE,98109,OTHER,,2024,SB,4080420231763315994,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584587060,Other Federal Operating Expenditures,,,,,,
C00580100,MAKE AMERICA GREAT AGAIN PAC,2023,MY,202307319584587067,21B,SB21B.941141.3,1720243,ORG,ORGANIZATION,,,AMAZON,WA,,,,,AMEX PMT: SUBSCRIPTIONS,X,,2023-03-17 00:00:00,5.30,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-08-05 03:36:27,,SB21B.941141,SB21B,0.00,,,,,,,,,,,,Q,,U,F3X,4073120231758347281,SEATTLE,98109,OTHER,,2024,SB,4080420231763316017,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584587067,Other Federal Operating Expenditures,,,,,,
C00580100,MAKE AMERICA GREAT AGAIN PAC,2023,MY,202307319584587068,21B,SB21B.941141.4,1720243,ORG,ORGANIZATION,,,AMAZON,WA,,,,,AMEX PMT: SUBSCRIPTIONS,X,,2023-02-17 00:00:00,5.30,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-08-05 03:36:27,,SB21B.941141,SB21B,0.00,,,,,,,,,,,,Q,,U,F3X,4073120231758347281,SEATTLE,98109,OTHER,,2024,SB,4080420231763316018,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584587068,Other Federal Operating Expenditures,,,,,,
C00580100,MAKE AMERICA GREAT AGAIN PAC,2023,MY,202307319584587074,21B,SB21B.945277.2,1720243,ORG,ORGANIZATION,,,AMAZON,WA,,,,,AMEX PMT: SUBSCRIPTIONS,X,,2023-04-17 00:00:00,5.30,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-08-05 03:36:27,,SB21B.945277,SB21B,0.00,,,,,,,,,,,,Q,,U,F3X,4073120231758347281,SEATTLE,98109,OTHER,,2024,SB,4080420231763316038,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584587074,Other Federal Operating Expenditures,,,,,,
C00580100,MAKE AMERICA GREAT AGAIN PAC,2023,MY,202307319584587082,21B,SB21B.937120,1720243,ORG,ORGANIZATION,,,DELAWARE DEPARTMENT OF LABOR,PA,,,,,TAXES,,,2023-02-24 00:00:00,6.18,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-08-05 03:36:27,,,,0.00,,,,,,,,,,,,Q,,U,F3X,4073120231758347281,PHILADELPHIA,19101,OTHER,,2024,SB,4080420231763316060,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584587082,Other Federal Operating Expenditures,,,,,,
C00580100,MAKE AMERICA GREAT AGAIN PAC,2023,MY,202307319584587064,21B,SB21B.938203.15,1720243,ORG,ORGANIZATION,,,MICROSOFT,TX,,,,,AMEX PMT: SOFTWARE SERVICES,X,,2022-12-03 00:00:00,10.89,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-08-05 03:36:27,,SB21B.938203,SB21B,0.00,,,,,,,,,,,,Q,,U,F3X,4073120231758347281,DALLAS,75202,OTHER,,2024,SB,4080420231763316006,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584587064,Other Federal Operating Expenditures,,,,,,
C00580100,MAKE AMERICA GREAT AGAIN PAC,2023,MY,202307319584587065,21B,SB21B.938203.19,1720243,ORG,ORGANIZATION,,,MICROSOFT,TX,,,,,AMEX PMT: SOFTWARE SERVICES,X,,2023-01-02 00:00:00,10.89,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-08-05 03:36:27,,SB21B.938203,SB21B,0.00,,,,,,,,,,,,Q,,U,F3X,4073120231758347281,DALLAS,75202,OTHER,,2024,SB,4080420231763316010,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584587065,Other Federal Operating Expenditures,,,,,,
C00580100,MAKE AMERICA GREAT AGAIN PAC,2023,MY,202307319584587070,21B,SB21B.941141.12,1720243,ORG,ORGANIZATION,,,MICROSOFT,TX,,,,,AMEX PMT: SOFTWARE SERVICES,X,,2023-02-02 00:00:00,10.89,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-08-05 03:36:27,,SB21B.941141,SB21B,0.00,,,,,,,,,,,,Q,,U,F3X,4073120231758347281,DALLAS,75202,OTHER,,2024,SB,4080420231763316026,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584587070,Other Federal Operating Expenditures,,,,,,
C00580100,MAKE AMERICA GREAT AGAIN PAC,2023,MY,202307319584587072,21B,SB21B.941141.16,1720243,ORG,ORGANIZATION,,,MICROSOFT,TX,,,,,AMEX PMT: SOFTWARE SERVICES,X,,2023-03-03 00:00:00,10.89,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-08-05 03:36:27,,SB21B.941141,SB21B,0.00,,,,,,,,,,,,Q,,U,F3X,4073120231758347281,DALLAS,75202,OTHER,,2024,SB,4080420231763316030,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584587072,Other Federal Operating Expenditures,,,,,,
