committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00580100,MAKE AMERICA GREAT AGAIN PAC,2023,MY,202307319584587088,21B,SB21B.939608,1720243,ORG,ORGANIZATION,,,JENNIFER LITTLE LLC,GA,,,,,LEGAL CONSULTING,,,2023-04-20 00:00:00,217560.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-08-05 03:36:27,,,,0.00,,,,,,,,,,,,Q,,U,F3X,4073120231758347281,JOHNS CREEK,30022,OTHER,,2024,SB,4080420231763316079,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584587088,Other Federal Operating Expenditures,,,,,,
C00580100,MAKE AMERICA GREAT AGAIN PAC,2023,MY,202307319584587090,21B,SB21B.936050,1720243,ORG,ORGANIZATION,,,LAROCCA HORNIK ROSEN & GREENBERG  LLP,NY,,,,,LEGAL CONSULTING,,,2023-02-03 00:00:00,14290.20,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-08-05 03:36:27,,,,0.00,,,,,,,,,,,,Q,,U,F3X,4073120231758347281,NEW YORK,10005,OTHER,,2024,SB,4080420231763316084,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584587090,Other Federal Operating Expenditures,,,,,,
C00580100,MAKE AMERICA GREAT AGAIN PAC,2023,MY,202307319584587101,21B,SB21B.937851,1720243,ORG,ORGANIZATION,,,THE BINNALL LAW GROUP,VA,,,,,LEGAL CONSULTING,,,2023-03-17 00:00:00,192543.73,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-08-05 03:36:27,,,,0.00,,,,,,,,,,,,Q,,U,F3X,4073120231758347281,ALEXANDRIA,22314,OTHER,,2024,SB,4080420231763316119,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584587101,Other Federal Operating Expenditures,,,,,,
C00580100,MAKE AMERICA GREAT AGAIN PAC,2023,MY,202307319584587094,21B,SB21B.935400,1720243,ORG,ORGANIZATION,,,RED CURVE SOLUTIONS,MA,,,,,REIMBURSEMENT FOR LEGAL FEES & LEGAL EXPENSES,,,2023-02-03 00:00:00,16418.40,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-08-05 03:36:27,,,,0.00,,,,,,,,,,,,Q,,U,F3X,4073120231758347281,BEVERLY,01915,ADMINISTRATIVE,,2024,SB,4080420231763316098,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584587094,Other Federal Operating Expenditures,,,,,,
C00580100,MAKE AMERICA GREAT AGAIN PAC,2023,MY,202307319584587102,21B,SB21B.935221,1720243,ORG,ORGANIZATION,,,THE GARBER GROUP LLC,DC,,,,,LEGAL CONSULTING,,,2023-01-26 00:00:00,67000.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-08-05 03:36:27,,,,0.00,,,,,,,,,,,,Q,,U,F3X,4073120231758347281,WASHINGTON,20005,OTHER,,2024,SB,4080420231763316121,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584587102,Other Federal Operating Expenditures,,,,,,
C00580100,MAKE AMERICA GREAT AGAIN PAC,2023,MY,202307319584587097,21B,SB21B.938957,1720243,ORG,ORGANIZATION,,,RED CURVE SOLUTIONS,MA,,,,,REIMBURSEMENT FOR LEGAL FEES,,,2023-03-16 00:00:00,436070.55,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-08-05 03:36:27,,,,0.00,,,,,,,,,,,,Q,,U,F3X,4073120231758347281,BEVERLY,01915,ADMINISTRATIVE,,2024,SB,4080420231763316107,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584587097,Other Federal Operating Expenditures,,,,,,
C00580100,MAKE AMERICA GREAT AGAIN PAC,2023,MY,202307319584587086,21B,SB21B.934713,1720243,ORG,ORGANIZATION,,,JACKSON KELLY PLLC,CO,,,,,LEGAL CONSULTING,,,2023-01-19 00:00:00,10201.05,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-08-05 03:36:27,,,,0.00,,,,,,,,,,,,Q,,U,F3X,4073120231758347281,DENVER,80202,OTHER,,2024,SB,4080420231763316074,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584587086,Other Federal Operating Expenditures,,,,,,
C00580100,MAKE AMERICA GREAT AGAIN PAC,2023,MY,202307319584587103,21B,SB21B.945516,1720243,ORG,ORGANIZATION,,,THE GARBER GROUP LLC,DC,,,,,LEGAL CONSULTING,,,2023-06-01 00:00:00,6740.50,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-08-05 03:36:27,,,,0.00,,,,,,,,,,,,Q,,U,F3X,4073120231758347281,WASHINGTON,20005,OTHER,,2024,SB,4080420231763316123,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584587103,Other Federal Operating Expenditures,,,,,,
C00580100,MAKE AMERICA GREAT AGAIN PAC,2023,MY,202307319584587086,21B,SB21B.941312,1720243,ORG,ORGANIZATION,,,HABBA MADAIO & ASSOCIATES LLP,NJ,,,,,LEGAL CONSULTING,,,2023-04-21 00:00:00,4019.50,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-08-05 03:36:27,,,,0.00,,,,,,,,,,,,Q,,U,F3X,4073120231758347281,BEDMINSTER,07921,OTHER,,2024,SB,4080420231763316072,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584587086,Other Federal Operating Expenditures,,,,,,
C00580100,MAKE AMERICA GREAT AGAIN PAC,2023,MY,202307319584587088,21B,SB21B.935466,1720243,ORG,ORGANIZATION,,,JONES DAY,DC,,,,,LEGAL CONSULTING,,,2023-02-03 00:00:00,4758.77,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-08-05 03:36:27,,,,0.00,,,,,,,,,,,,Q,,U,F3X,4073120231758347281,WASHINGTON,20001,OTHER,,2024,SB,4080420231763316080,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584587088,Other Federal Operating Expenditures,,,,,,
