committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00762591,SAVE AMERICA,2023,MY,202310199598633373,21B,SB21B.943413.17,1732717,ORG,ORGANIZATION,,,DELTA AIR LINES,GA,,,,,CREDIT: TRAVEL: AIR,X,,2023-04-14 00:00:00,-639.80,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-11-02 03:36:55,,SB21B.943413,SB21B,0.00,,,,,,,,,,,,Q,"",D,F3X,4101920231805771215,ATLANTA,30354,OTHER,,2024,SB,4110120231808932547,https://docquery.fec.gov/cgi-bin/fecimg/?202310199598633373,Other Federal Operating Expenditures,,,,,,
C00762591,SAVE AMERICA,2023,MY,202310199598633391,21B,SB21B.935579.17,1732717,ORG,ORGANIZATION,,,DELTA AIRLINES,GA,,,,,CREDIT: TRAVEL: AIR,X,,2023-01-24 00:00:00,-147.06,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-11-02 03:36:55,,SB21B.935579,SB21B,0.00,,,,,,,,,,,,Q,"",D,F3X,4101920231805771215,ATLANTA,30354,OTHER,,2024,SB,4110120231808932603,https://docquery.fec.gov/cgi-bin/fecimg/?202310199598633391,Other Federal Operating Expenditures,,,,,,
C00762591,SAVE AMERICA,2023,MY,202310199598633360,21B,SB21B.940431.18,1732717,ORG,ORGANIZATION,,,CGI MERCHANT GROUP,FL,,,,,CREDIT: TRAVEL: LODGING,X,,2023-03-23 00:00:00,-76.70,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-11-02 03:36:55,,SB21B.940431,SB21B,0.00,,,,,,,,,,,,Q,"",D,F3X,4101920231805771215,MIAMI,33133,TRAVEL,,2024,SB,4110120231808932510,https://docquery.fec.gov/cgi-bin/fecimg/?202310199598633360,Other Federal Operating Expenditures,,,,,,
C00762591,SAVE AMERICA,2023,MY,202310199598633401,21B,SB21B.933853.8,1732717,ORG,ORGANIZATION,,,AMAZON,WA,,,,,CREDIT: OFFICE SUPPLIES,X,,2022-12-09 00:00:00,-53.49,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-11-02 03:36:55,,SB21B.933853,SB21B,0.00,,,,,,,,,,,,Q,"",D,F3X,4101920231805771215,SEATTLE,98109,ADMINISTRATIVE,,2024,SB,4110120231808932631,https://docquery.fec.gov/cgi-bin/fecimg/?202310199598633401,Other Federal Operating Expenditures,,,,,,
C00762591,SAVE AMERICA,2023,MY,202310199598633355,21B,SB21B.940431.3,1732717,ORG,ORGANIZATION,,,AMAZON,WA,,,,,CREDIT: OFFICE SUPPLIES,X,,2023-03-23 00:00:00,-32.08,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-11-02 03:36:55,,SB21B.940431,SB21B,0.00,,,,,,,,,,,,Q,"",D,F3X,4101920231805771215,SEATTLE,98109,ADMINISTRATIVE,,2024,SB,4110120231808932495,https://docquery.fec.gov/cgi-bin/fecimg/?202310199598633355,Other Federal Operating Expenditures,,,,,,
C00762591,SAVE AMERICA,2023,MY,202310199598633543,21B,SB21B.938692,1732717,ORG,ORGANIZATION,,,WINRED TECHNICAL SERVICES LLC,VA,,,,,MERCHANT FEES,,,2023-03-13 00:00:00,0.09,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-11-02 03:36:55,,,,0.00,,,,,,,,,,,,Q,"",D,F3X,4101920231805771215,ARLINGTON,22219,OTHER,,2024,SB,4110120231808933059,https://docquery.fec.gov/cgi-bin/fecimg/?202310199598633543,Other Federal Operating Expenditures,,,,,,
C00762591,SAVE AMERICA,2023,MY,202310199598633544,21B,SB21B.938902,1732717,ORG,ORGANIZATION,,,WINRED TECHNICAL SERVICES LLC,VA,,,,,MERCHANT FEES,,,2023-03-15 00:00:00,0.16,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-11-02 03:36:55,,,,0.00,,,,,,,,,,,,Q,"",D,F3X,4101920231805771215,ARLINGTON,22219,OTHER,,2024,SB,4110120231808933061,https://docquery.fec.gov/cgi-bin/fecimg/?202310199598633544,Other Federal Operating Expenditures,,,,,,
C00762591,SAVE AMERICA,2023,MY,202310199598633549,21B,SB21B.935975,1732717,ORG,ORGANIZATION,,,WINRED TECHNICAL SERVICES LLC,VA,,,,,MERCHANT FEES,,,2023-02-03 00:00:00,0.28,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-11-02 03:36:55,,,,0.00,,,,,,,,,,,,Q,"",D,F3X,4101920231805771215,ARLINGTON,22219,OTHER,,2024,SB,4110120231808933076,https://docquery.fec.gov/cgi-bin/fecimg/?202310199598633549,Other Federal Operating Expenditures,,,,,,
C00762591,SAVE AMERICA,2023,MY,202310199598633542,21B,SB21B.938216,1732717,ORG,ORGANIZATION,,,WINRED TECHNICAL SERVICES LLC,VA,,,,,MERCHANT FEES,,,2023-03-07 00:00:00,0.39,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-11-02 03:36:55,,,,0.00,,,,,,,,,,,,Q,"",D,F3X,4101920231805771215,ARLINGTON,22219,OTHER,,2024,SB,4110120231808933055,https://docquery.fec.gov/cgi-bin/fecimg/?202310199598633542,Other Federal Operating Expenditures,,,,,,
C00762591,SAVE AMERICA,2023,MY,202310199598633548,21B,SB21B.935616,1732717,ORG,ORGANIZATION,,,WINRED TECHNICAL SERVICES LLC,VA,,,,,MERCHANT FEES,,,2023-02-01 00:00:00,0.39,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-11-02 03:36:55,,,,0.00,,,,,,,,,,,,Q,"",D,F3X,4101920231805771215,ARLINGTON,22219,OTHER,,2024,SB,4110120231808933074,https://docquery.fec.gov/cgi-bin/fecimg/?202310199598633548,Other Federal Operating Expenditures,,,,,,
C00762591,SAVE AMERICA,2023,MY,202310199598633554,21B,SB21B.934354,1732717,ORG,ORGANIZATION,,,WINRED TECHNICAL SERVICES LLC,VA,,,,,MERCHANT FEES,,,2023-01-10 00:00:00,0.40,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-11-02 03:36:55,,,,0.00,,,,,,,,,,,,Q,"",D,F3X,4101920231805771215,ARLINGTON,22219,OTHER,,2024,SB,4110120231808933092,https://docquery.fec.gov/cgi-bin/fecimg/?202310199598633554,Other Federal Operating Expenditures,,,,,,
C00762591,SAVE AMERICA,2023,MY,202310199598633551,21B,SB21B.937168,1732717,ORG,ORGANIZATION,,,WINRED TECHNICAL SERVICES LLC,VA,,,,,MERCHANT FEES,,,2023-02-21 00:00:00,0.58,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-11-02 03:36:55,,,,0.00,,,,,,,,,,,,Q,"",D,F3X,4101920231805771215,ARLINGTON,22219,OTHER,,2024,SB,4110120231808933083,https://docquery.fec.gov/cgi-bin/fecimg/?202310199598633551,Other Federal Operating Expenditures,,,,,,
C00762591,SAVE AMERICA,2023,MY,202310199598633554,21B,SB21B.934262,1732717,ORG,ORGANIZATION,,,WINRED TECHNICAL SERVICES LLC,VA,,,,,MERCHANT FEES,,,2023-01-09 00:00:00,0.59,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-11-02 03:36:55,,,,0.00,,,,,,,,,,,,Q,"",D,F3X,4101920231805771215,ARLINGTON,22219,OTHER,,2024,SB,4110120231808933091,https://docquery.fec.gov/cgi-bin/fecimg/?202310199598633554,Other Federal Operating Expenditures,,,,,,
C00762591,SAVE AMERICA,2023,MY,202310199598633543,21B,SB21B.938596,1732717,ORG,ORGANIZATION,,,WINRED TECHNICAL SERVICES LLC,VA,,,,,MERCHANT FEES,,,2023-03-10 00:00:00,0.68,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-11-02 03:36:55,,,,0.00,,,,,,,,,,,,Q,"",D,F3X,4101920231805771215,ARLINGTON,22219,OTHER,,2024,SB,4110120231808933058,https://docquery.fec.gov/cgi-bin/fecimg/?202310199598633543,Other Federal Operating Expenditures,,,,,,
C00762591,SAVE AMERICA,2023,MY,202310199598633550,21B,SB21B.936663,1732717,ORG,ORGANIZATION,,,WINRED TECHNICAL SERVICES LLC,VA,,,,,MERCHANT FEES,,,2023-02-10 00:00:00,0.72,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-11-02 03:36:55,,,,0.00,,,,,,,,,,,,Q,"",D,F3X,4101920231805771215,ARLINGTON,22219,OTHER,,2024,SB,4110120231808933080,https://docquery.fec.gov/cgi-bin/fecimg/?202310199598633550,Other Federal Operating Expenditures,,,,,,
C00762591,SAVE AMERICA,2023,MY,202310199598633545,21B,SB21B.939202,1732717,ORG,ORGANIZATION,,,WINRED TECHNICAL SERVICES LLC,VA,,,,,MERCHANT FEES,,,2023-03-20 00:00:00,0.83,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-11-02 03:36:55,,,,0.00,,,,,,,,,,,,Q,"",D,F3X,4101920231805771215,ARLINGTON,22219,OTHER,,2024,SB,4110120231808933064,https://docquery.fec.gov/cgi-bin/fecimg/?202310199598633545,Other Federal Operating Expenditures,,,,,,
C00762591,SAVE AMERICA,2023,YE,202401319618424309,21B,SB21B.955276,1752799,ORG,ORGANIZATION,,,WINRED TECHNICAL SERVICES LLC,VA,,,,,MERCHANT FEES,,,2023-08-11 00:00:00,0.85,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2024-02-07 02:37:01,,,,0.00,,,,,,,,,,,,Q,,D,F3X,4013120241817780374,ARLINGTON,22219,OTHER,,2024,SB,4020620241820599805,https://docquery.fec.gov/cgi-bin/fecimg/?202401319618424309,Other Federal Operating Expenditures,,,,,,
C00762591,SAVE AMERICA,2023,MY,202310199598633541,21B,SB21B.937668,1732717,ORG,ORGANIZATION,,,WINRED TECHNICAL SERVICES LLC,VA,,,,,MERCHANT FEES,,,2023-03-01 00:00:00,0.91,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-11-02 03:36:55,,,,0.00,,,,,,,,,,,,Q,"",D,F3X,4101920231805771215,ARLINGTON,22219,OTHER,,2024,SB,4110120231808933051,https://docquery.fec.gov/cgi-bin/fecimg/?202310199598633541,Other Federal Operating Expenditures,,,,,,
C00762591,SAVE AMERICA,2023,MY,202310199598633535,21B,SB21B.940461,1732717,ORG,ORGANIZATION,,,WINRED TECHNICAL SERVICES LLC,VA,,,,,MERCHANT FEES,,,2023-04-03 00:00:00,0.92,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-11-02 03:36:55,,,,0.00,,,,,,,,,,,,Q,"",D,F3X,4101920231805771215,ARLINGTON,22219,OTHER,,2024,SB,4110120231808933035,https://docquery.fec.gov/cgi-bin/fecimg/?202310199598633535,Other Federal Operating Expenditures,,,,,,
