committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00618371,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,2021,MY,202112029469759303,22,SB22.4901,1550560,PAC,POLITICAL ACTION COMMITTEE,C00762591,C00762591,SAVE AMERICA,VA,,,24G,TRANSFER OUT AFFILIATED,TRANSFER OF NET PROCEEDS,,,2021-05-28 00:00:00,3311112.94,,,,,,,,,,,,,P,,PRIMARY,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2021-12-11 03:50:13.568,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4120420211383985000,ARLINGTON,22219,TRANSFERS,,2022,SB,4121120211385120833,https://docquery.fec.gov/cgi-bin/fecimg/?202112029469759303,Transfers to Affiliated/Other Party Committees,,,,,,
C00618371,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,2021,MY,202112029469759304,22,SB22.5109,1550560,PAC,POLITICAL ACTION COMMITTEE,C00762591,C00762591,SAVE AMERICA,VA,,,24G,TRANSFER OUT AFFILIATED,TRANSFER OF NET PROCEEDS,,,2021-06-30 00:00:00,3543940.04,,,,,,,,,,,,,P,,PRIMARY,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2021-12-11 03:50:13.569,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4120420211383985000,ARLINGTON,22219,TRANSFERS,,2022,SB,4121120211385120834,https://docquery.fec.gov/cgi-bin/fecimg/?202112029469759304,Transfers to Affiliated/Other Party Committees,,,,,,
C00618371,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,2021,MY,202112029469759301,22,SB22.4816,1550560,CCM,CAMPAIGN COMMITTEE,C00580100,C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",VA,"DONALD J. TRUMP FOR PRESIDENT, INC.",,24G,TRANSFER OUT AFFILIATED,TRANSFER OF NET PROCEEDS,,,2021-02-19 00:00:00,5078528.75,P,PRESIDENT,00,P80001571,"TRUMP, DONALD J.",DONALD J.,TRUMP,,,,,,G2020,,GENERAL,2020,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2021-12-11 03:50:13.568,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4120420211383985000,ARLINGTON,22219,TRANSFERS,,2022,SB,4121120211385120825,https://docquery.fec.gov/cgi-bin/fecimg/?202112029469759301,Transfers to Affiliated/Other Party Committees,,,,,,
C00618371,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,2021,MY,202112029469759301,22,SB22.4815,1550560,CCM,CAMPAIGN COMMITTEE,C00580100,C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",VA,"DONALD J. TRUMP FOR PRESIDENT, INC.",,24G,TRANSFER OUT AFFILIATED,TRANSFER OF NET PROCEEDS,,,2021-03-31 00:00:00,721605.19,P,PRESIDENT,00,P80001571,"TRUMP, DONALD J.",DONALD J.,TRUMP,,,,,,E2020,RECOUNT,RECOUNT,2020,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2021-12-11 03:50:13.568,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4120420211383985000,ARLINGTON,22219,TRANSFERS,,2022,SB,4121120211385120826,https://docquery.fec.gov/cgi-bin/fecimg/?202112029469759301,Transfers to Affiliated/Other Party Committees,,,,,,
C00618371,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,2021,MY,202112029469759301,22,SB22.4892,1550560,COM,OTHER COMMITTEE,C00003418,C00003418,REPUBLICAN NATIONAL COMMITTEE,DC,,,24G,TRANSFER OUT AFFILIATED,TRANSFER OF NET PROCEEDS - GENERAL OPERATING,,,2021-01-08 00:00:00,6771088.40,,,,,,,,,,,,,P,,PRIMARY,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2021-12-11 03:50:13.568,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4120420211383985000,WASHINGTON,20003,TRANSFERS,,2022,SB,4121120211385120827,https://docquery.fec.gov/cgi-bin/fecimg/?202112029469759301,Transfers to Affiliated/Other Party Committees,,,,,,
C00618371,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,2021,YE,202201319486223121,22,SB22.4190,1566029,COM,OTHER COMMITTEE,C00003418,C00003418,REPUBLICAN NATIONAL COMMITTEE,DC,,,24G,TRANSFER OUT AFFILIATED,TRANSFER OF NET PROCEEDS - GENERAL OPERATING,,,2021-12-29 00:00:00,250780.89,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2022-02-05 03:50:50.15,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4020120221403786173,WASHINGTON,20003,TRANSFERS,,2022,SB,4020420221405007414,https://docquery.fec.gov/cgi-bin/fecimg/?202201319486223121,Transfers to Affiliated/Other Party Committees,,,,,,
C00618371,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,2021,MY,202112029469759302,22,SB22.4891,1550560,COM,OTHER COMMITTEE,C00003418,C00003418,REPUBLICAN NATIONAL COMMITTEE,DC,,,24G,TRANSFER OUT AFFILIATED,TRANSFER OF NET PROCEEDS - LEGAL PROCEEDINGS ACCOUNT,,,2021-02-22 00:00:00,95130.00,,,,,,,,,,,,,P,,PRIMARY,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2021-12-11 03:50:13.568,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4120420211383985000,WASHINGTON,20003,TRANSFERS,,2022,SB,4121120211385120829,https://docquery.fec.gov/cgi-bin/fecimg/?202112029469759302,Transfers to Affiliated/Other Party Committees,,,,,,
C00618371,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,2021,MY,202112029469759303,22,SB22.4902,1550560,PAC,POLITICAL ACTION COMMITTEE,C00762591,C00762591,SAVE AMERICA,VA,,,24G,TRANSFER OUT AFFILIATED,TRANSFER OF NET PROCEEDS,,,2021-03-31 00:00:00,4989793.45,,,,,,,,,,,,,P,,PRIMARY,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2021-12-11 03:50:13.568,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4120420211383985000,ARLINGTON,22219,TRANSFERS,,2022,SB,4121120211385120832,https://docquery.fec.gov/cgi-bin/fecimg/?202112029469759303,Transfers to Affiliated/Other Party Committees,,,,,,
C00618371,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,2021,MY,202112029469759302,22,SB22.4890,1550560,COM,OTHER COMMITTEE,C00003418,C00003418,REPUBLICAN NATIONAL COMMITTEE,DC,,,24G,TRANSFER OUT AFFILIATED,TRANSFER OF NET PROCEEDS - GENERAL OPERATING,,,2021-02-22 00:00:00,32850.00,,,,,,,,,,,,,P,,PRIMARY,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2021-12-11 03:50:13.568,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4120420211383985000,WASHINGTON,20003,TRANSFERS,,2022,SB,4121120211385120828,https://docquery.fec.gov/cgi-bin/fecimg/?202112029469759302,Transfers to Affiliated/Other Party Committees,,,,,,
C00618371,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,2021,MY,202112029469759303,22,SB22.4903,1550560,PAC,POLITICAL ACTION COMMITTEE,C00762591,C00762591,SAVE AMERICA,VA,,,24G,TRANSFER OUT AFFILIATED,TRANSFER OF NET PROCEEDS,,,2021-03-05 00:00:00,5192501.24,,,,,,,,,,,,,P,,PRIMARY,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2021-12-11 03:50:13.568,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4120420211383985000,ARLINGTON,22219,TRANSFERS,,2022,SB,4121120211385120831,https://docquery.fec.gov/cgi-bin/fecimg/?202112029469759303,Transfers to Affiliated/Other Party Committees,,,,,,
