committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2023,YE,202401319618806549,21B,SB21B.955634,1752820,ORG,ORGANIZATION,,,REPUBLICAN JEWISH COALITION,DC,,,,,FUNDRAISING FEES,,,2023-08-15 00:00:00,0.06,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2024-02-07 02:37:01,,,,0.00,,,,,,,,,,,,N,,J,F3X,4020120241818221001,WASHINGTON,20001,OTHER,,2024,SB,4020620241820622948,https://docquery.fec.gov/cgi-bin/fecimg/?202401319618806549,Other Federal Operating Expenditures,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2023,YE,202401319618806550,21B,SB21B.956111,1752820,ORG,ORGANIZATION,,,REPUBLICAN JEWISH COALITION,DC,,,,,FUNDRAISING FEES,,,2023-08-17 00:00:00,0.07,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2024-02-07 02:37:01,,,,0.00,,,,,,,,,,,,N,,J,F3X,4020120241818221001,WASHINGTON,20001,OTHER,,2024,SB,4020620241820622949,https://docquery.fec.gov/cgi-bin/fecimg/?202401319618806550,Other Federal Operating Expenditures,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2023,MY,202307319584586541,28A,SB28A.941107,1720241,IND,INDIVIDUAL,,,"ALBANESI, KAREN",NY,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,CONTRIBUTION REFUND,,,2023-04-13 00:00:00,0.10,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2023-08-02 03:38:06,,,,0.00,ALBANESI,KAREN,,,,,,,,,,N,,J,F3X,4080120231758587000,BUFFALO,14216,REFUNDS,,2024,SB,4080120231759243312,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584586541,Refunds of Contributions Made to Individuals/Persons Other Than Political Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2023,MY,202307319584586561,28A,SB28A.938799,1720241,IND,INDIVIDUAL,,,"MIRABILE, LORRAINE",FL,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,CONTRIBUTION REFUND,,,2023-03-14 00:00:00,0.10,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2023-08-02 03:38:06,,,,0.00,MIRABILE,LORRAINE,,,,,,,,,,N,,J,F3X,4080120231758587000,THE VILLAGES,32162,REFUNDS,,2024,SB,4080120231759243373,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584586561,Refunds of Contributions Made to Individuals/Persons Other Than Political Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2023,YE,202401319618806554,21B,SB21B.974143,1752820,ORG,ORGANIZATION,,,REPUBLICAN JEWISH COALITION,DC,,,,,FUNDRAISING FEES,,,2023-12-12 00:00:00,0.15,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2024-02-07 02:37:01,,,,0.00,,,,,,,,,,,,N,,J,F3X,4020120241818221001,WASHINGTON,20001,OTHER,,2024,SB,4020620241820622962,https://docquery.fec.gov/cgi-bin/fecimg/?202401319618806554,Other Federal Operating Expenditures,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2023,MY,202307319584586556,28A,SB28A.946225,1720241,IND,INDIVIDUAL,,,"JAHNS, RICHARD",TX,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,CONTRIBUTION REFUND,,,2023-05-23 00:00:00,0.20,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2023-08-02 03:38:06,,,,0.00,JAHNS,RICHARD,,,,,,,,,,N,,J,F3X,4080120231758587000,EULESS,76040,REFUNDS,,2024,SB,4080120231759243359,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584586556,Refunds of Contributions Made to Individuals/Persons Other Than Political Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2023,YE,202401319618806619,28A,SB28A.963735,1752820,IND,INDIVIDUAL,,,"PURGET, STEPHANIE",OK,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,CONTRIBUTION REFUND,,,2023-09-27 00:00:00,0.25,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2024-02-07 02:37:01,,,,0.00,PURGET,STEPHANIE,,,,,,,,,,N,,J,F3X,4020120241818221001,EDMOND,73003,REFUNDS,,2024,SB,4020620241820623154,https://docquery.fec.gov/cgi-bin/fecimg/?202401319618806619,Refunds of Contributions Made to Individuals/Persons Other Than Political Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2023,MY,202307319584586578,28A,SB28A.949633,1720241,IND,INDIVIDUAL,,,"YU, MYONG",WA,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,CONTRIBUTION REFUND,,,2023-06-23 00:00:00,0.25,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2023-08-02 03:38:06,,,,0.00,YU,MYONG,,,,,,,,,,N,,J,F3X,4080120231758587000,FEDERAL WAY,98023,REFUNDS,,2024,SB,4080120231759243425,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584586578,Refunds of Contributions Made to Individuals/Persons Other Than Political Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2023,YE,202401319618806553,21B,SB21B.969333,1752820,ORG,ORGANIZATION,,,REPUBLICAN JEWISH COALITION,DC,,,,,FUNDRAISING FEES,,,2023-11-02 00:00:00,0.30,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2024-02-07 02:37:01,,,,0.00,,,,,,,,,,,,N,,J,F3X,4020120241818221001,WASHINGTON,20001,OTHER,,2024,SB,4020620241820622958,https://docquery.fec.gov/cgi-bin/fecimg/?202401319618806553,Other Federal Operating Expenditures,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2023,YE,202401319618806612,28A,SB28A.953070,1752820,IND,INDIVIDUAL,,,"CHAO, MADELINE",CA,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,CONTRIBUTION REFUND,,,2023-07-25 00:00:00,0.30,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2024-02-07 02:37:01,,,,0.00,CHAO,MADELINE,,,,,,,,,,N,,J,F3X,4020120241818221001,HUNTINGTON BEACH,92647,REFUNDS,,2024,SB,4020620241820623132,https://docquery.fec.gov/cgi-bin/fecimg/?202401319618806612,Refunds of Contributions Made to Individuals/Persons Other Than Political Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2023,MY,202307319584586546,28A,SB28A.934057,1720241,IND,INDIVIDUAL,,,"BURGESS, RICHARD",VA,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,CONTRIBUTION REFUND,,,2023-01-05 00:00:00,0.30,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2023-08-02 03:38:06,,,,0.00,BURGESS,RICHARD,,,,,,,,,,N,,J,F3X,4080120231758587000,YORKTOWN,23693,REFUNDS,,2024,SB,4080120231759243327,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584586546,Refunds of Contributions Made to Individuals/Persons Other Than Political Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2023,MY,202307319584586545,28A,SB28A.938803,1720241,IND,INDIVIDUAL,,,"BURGESS, RICHARD",VA,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,CONTRIBUTION REFUND,,,2023-03-14 00:00:00,0.35,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2023-08-02 03:38:06,,,,0.00,BURGESS,RICHARD,,,,,,,,,,N,,J,F3X,4080120231758587000,YORKTOWN,23693,REFUNDS,,2024,SB,4080120231759243324,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584586545,Refunds of Contributions Made to Individuals/Persons Other Than Political Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2023,MY,202307319584586576,28A,SB28A.944923,1720241,IND,INDIVIDUAL,,,"WATTS SOQUET, ANITA",AK,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,CONTRIBUTION REFUND,,,2023-05-11 00:00:00,0.35,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2023-08-02 03:38:06,,,,0.00,WATTS SOQUET,ANITA,,,,,,,,,,N,,J,F3X,4080120231758587000,ANCHORAGE,99508,REFUNDS,,2024,SB,4080120231759243418,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584586576,Refunds of Contributions Made to Individuals/Persons Other Than Political Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2023,MY,202307319584586544,28A,SB28A.934030,1720241,IND,INDIVIDUAL,,,"BONYADI, DONNA",CA,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,CONTRIBUTION REFUND,,,2023-01-05 00:00:00,0.45,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2023-08-02 03:38:06,,,,0.00,BONYADI,DONNA,,,,,,,,,,N,,J,F3X,4080120231758587000,ANAHEIM,92801,REFUNDS,,2024,SB,4080120231759243321,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584586544,Refunds of Contributions Made to Individuals/Persons Other Than Political Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2023,YE,202401319618806619,28A,SB28A.973980,1752820,IND,INDIVIDUAL,,,"PURGET, STEPHANIE",OK,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,CONTRIBUTION REFUND,,,2023-12-11 00:00:00,0.50,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2024-02-07 02:37:01,,,,0.00,PURGET,STEPHANIE,,,,,,,,,,N,,J,F3X,4020120241818221001,EDMOND,73003,REFUNDS,,2024,SB,4020620241820623155,https://docquery.fec.gov/cgi-bin/fecimg/?202401319618806619,Refunds of Contributions Made to Individuals/Persons Other Than Political Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2023,MY,202307319584586573,28A,SB28A.944926,1720241,IND,INDIVIDUAL,,,"TOWNSEND, SHARON",GA,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,CONTRIBUTION REFUND,,,2023-05-11 00:00:00,0.50,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2023-08-02 03:38:06,,,,0.00,TOWNSEND,SHARON,,,,,,,,,,N,,J,F3X,4080120231758587000,TALKING ROCK,30175,REFUNDS,,2024,SB,4080120231759243408,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584586573,Refunds of Contributions Made to Individuals/Persons Other Than Political Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2023,YE,202401319618806610,28A,SB28A.963736,1752820,IND,INDIVIDUAL,,,"ALBANESI, KAREN",NY,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,CONTRIBUTION REFUND,,,2023-09-27 00:00:00,0.55,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2024-02-07 02:37:01,,,,0.00,ALBANESI,KAREN,,,,,,,,,,N,,J,F3X,4020120241818221001,BUFFALO,14216,REFUNDS,,2024,SB,4020620241820623127,https://docquery.fec.gov/cgi-bin/fecimg/?202401319618806610,Refunds of Contributions Made to Individuals/Persons Other Than Political Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2023,YE,202401319618806619,28A,SB28A.961131,1752820,IND,INDIVIDUAL,,,"PURGET, STEPHANIE",OK,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,CONTRIBUTION REFUND,,,2023-09-21 00:00:00,0.60,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2024-02-07 02:37:01,,,,0.00,PURGET,STEPHANIE,,,,,,,,,,N,,J,F3X,4020120241818221001,EDMOND,73003,REFUNDS,,2024,SB,4020620241820623153,https://docquery.fec.gov/cgi-bin/fecimg/?202401319618806619,Refunds of Contributions Made to Individuals/Persons Other Than Political Committees,,,,,,
