committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2021,MY,202107319465602574,22,SB22.4247,1533306,PAC,POLITICAL ACTION COMMITTEE,C00580100,C00580100,MAKE AMERICA GREAT AGAIN PAC,VA,,,24G,TRANSFER OUT AFFILIATED,TRANSFER OF NET PROCEEDS,,,2021-04-19 00:00:00,272982.69,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2021-08-18 04:52:30.085,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4080220211324288037,ARLINGTON,22219,TRANSFERS,,2022,SB,4081820211328384220,https://docquery.fec.gov/cgi-bin/fecimg/?202107319465602574,Transfers to Affiliated/Other Party Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2021,MY,202107319465602575,22,SB22.4265,1533306,PAC,POLITICAL ACTION COMMITTEE,C00762591,C00762591,SAVE AMERICA,VA,,,24G,TRANSFER OUT AFFILIATED,TRANSFER OF NET PROCEEDS,,,2021-04-19 00:00:00,2456844.22,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2021-08-18 04:52:30.086,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4080220211324288037,ARLINGTON,22219,TRANSFERS,,2022,SB,4081820211328384223,https://docquery.fec.gov/cgi-bin/fecimg/?202107319465602575,Transfers to Affiliated/Other Party Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2022,Q2,202207159521741982,22,SB22.897277,1615128,PAC,POLITICAL ACTION COMMITTEE,C00580100,C00580100,MAKE AMERICA GREAT AGAIN PAC,VA,,,24G,TRANSFER OUT AFFILIATED,TRANSFER OF NET PROCEEDS,,,2022-06-30 00:00:00,619826.24,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2022-07-19 03:37:56.08,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4071620221540768000,ARLINGTON,22219,TRANSFERS,,2022,SB,4071820221541677899,https://docquery.fec.gov/cgi-bin/fecimg/?202207159521741982,Transfers to Affiliated/Other Party Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2022,Q1,202204159499927117,22,SB22.871529,1586977,PAC,POLITICAL ACTION COMMITTEE,C00762591,C00762591,SAVE AMERICA,VA,,,24G,TRANSFER OUT AFFILIATED,TRANSFER OF NET PROCEEDS,,,2022-01-31 00:00:00,4116277.44,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2022-04-26 03:34:01.628,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4041620221470873128,ARLINGTON,22219,TRANSFERS,,2022,SB,4042520221472604351,https://docquery.fec.gov/cgi-bin/fecimg/?202204159499927117,Transfers to Affiliated/Other Party Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2021,MY,202107319465602574,22,SB22.4267,1533306,PAC,POLITICAL ACTION COMMITTEE,C00580100,C00580100,MAKE AMERICA GREAT AGAIN PAC,VA,,,24G,TRANSFER OUT AFFILIATED,TRANSFER OF NET PROCEEDS,,,2021-06-30 00:00:00,374288.39,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2021-08-18 04:52:30.086,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4080220211324288037,ARLINGTON,22219,TRANSFERS,,2022,SB,4081820211328384222,https://docquery.fec.gov/cgi-bin/fecimg/?202107319465602574,Transfers to Affiliated/Other Party Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2021,MY,202107319465602575,22,SB22.4268,1533306,PAC,POLITICAL ACTION COMMITTEE,C00762591,C00762591,SAVE AMERICA,VA,,,24G,TRANSFER OUT AFFILIATED,TRANSFER OF NET PROCEEDS,,,2021-06-30 00:00:00,3368595.51,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2021-08-18 04:52:30.086,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4080220211324288037,ARLINGTON,22219,TRANSFERS,,2022,SB,4081820211328384225,https://docquery.fec.gov/cgi-bin/fecimg/?202107319465602575,Transfers to Affiliated/Other Party Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2022,YE,202301319575746313,22,SB22.933449,1686120,CCM,CAMPAIGN COMMITTEE,C00828541,C00828541,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",VA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,TRANSFER OF NET PROCEEDS,,,2022-12-28 00:00:00,202799.39,P,PRESIDENT,00,P80001571,"TRUMP, DONALD J.",DONALD,TRUMP,J.,,,,,P2024,,PRIMARY,2024,A,ADD,ITEMIZED DISBURSEMENTS,2023-02-07 03:36:06,,,,0.00,,,,,,,,,,,,N,,J,F3X,4013120231721278130,ARLINGTON,22219,CONTRIBUTIONS,,2022,SB,4020620231723350121,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575746313,Transfers to Affiliated/Other Party Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2022,Q3,202210159536888138,22,SB22.871529,1642328,PAC,POLITICAL ACTION COMMITTEE,C00762591,C00762591,SAVE AMERICA,VA,,,24G,TRANSFER OUT AFFILIATED,TRANSFER OF NET PROCEEDS,,,2022-09-30 00:00:00,3205934.19,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2022-10-19 04:06:10,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4101520221588295130,ARLINGTON,22219,TRANSFERS,,2022,SB,4101820221589106059,https://docquery.fec.gov/cgi-bin/fecimg/?202210159536888138,Transfers to Affiliated/Other Party Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2022,Q3,202210159536888138,22,SB22.880871,1642328,PAC,POLITICAL ACTION COMMITTEE,C00580100,C00580100,MAKE AMERICA GREAT AGAIN PAC,VA,,,24G,TRANSFER OUT AFFILIATED,TRANSFER OF NET PROCEEDS,,,2022-09-30 00:00:00,385191.50,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2022-10-19 04:06:10,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4101520221588295130,ARLINGTON,22219,TRANSFERS,,2022,SB,4101820221589106058,https://docquery.fec.gov/cgi-bin/fecimg/?202210159536888138,Transfers to Affiliated/Other Party Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2021,YE,202202119491733431,22,SB22.4619,1568504,PAC,POLITICAL ACTION COMMITTEE,C00762591,C00762591,SAVE AMERICA,VA,,,24G,TRANSFER OUT AFFILIATED,TRANSFER OF NET PROCEEDS,,,2021-12-15 00:00:00,22944467.68,,,,,,,,,,,,,P,,PRIMARY,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2022-03-10 03:49:29.672,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4021120221406528043,ARLINGTON,22219,TRANSFERS,,2022,SB,4030920221460417649,https://docquery.fec.gov/cgi-bin/fecimg/?202202119491733431,Transfers to Affiliated/Other Party Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2022,Q1,202204159499927117,22,SB22.875201,1586977,PAC,POLITICAL ACTION COMMITTEE,C00762591,C00762591,SAVE AMERICA,VA,,,24G,TRANSFER OUT AFFILIATED,TRANSFER OF NET PROCEEDS,,,2022-02-28 00:00:00,3513705.15,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2022-04-26 03:34:01.628,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4041620221470873128,ARLINGTON,22219,TRANSFERS,,2022,SB,4042520221472604352,https://docquery.fec.gov/cgi-bin/fecimg/?202204159499927117,Transfers to Affiliated/Other Party Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2021,MY,202107319465602574,22,SB22.4248,1533306,PAC,POLITICAL ACTION COMMITTEE,C00580100,C00580100,MAKE AMERICA GREAT AGAIN PAC,VA,,,24G,TRANSFER OUT AFFILIATED,TRANSFER OF NET PROCEEDS,,,2021-05-28 00:00:00,227768.71,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2021-08-18 04:52:30.086,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4080220211324288037,ARLINGTON,22219,TRANSFERS,,2022,SB,4081820211328384221,https://docquery.fec.gov/cgi-bin/fecimg/?202107319465602574,Transfers to Affiliated/Other Party Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2022,Q1,202204159499927117,22,SB22.880871,1586977,PAC,POLITICAL ACTION COMMITTEE,C00580100,C00580100,MAKE AMERICA GREAT AGAIN PAC,VA,,,24G,TRANSFER OUT AFFILIATED,TRANSFER OF NET PROCEEDS,,,2022-03-31 00:00:00,1417826.93,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2022-04-26 03:34:01.628,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4041620221470873128,ARLINGTON,22219,TRANSFERS,,2022,SB,4042520221472604350,https://docquery.fec.gov/cgi-bin/fecimg/?202204159499927117,Transfers to Affiliated/Other Party Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2022,YE,202301319575746313,22,SB22.934311,1686120,CCM,CAMPAIGN COMMITTEE,C00828541,C00828541,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",VA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,TRANSFER OF NET PROCEEDS,,,2022-12-31 00:00:00,2864658.54,P,PRESIDENT,00,P80001571,"TRUMP, DONALD J.",DONALD,TRUMP,J.,,,,,P2024,,PRIMARY,2024,A,ADD,ITEMIZED DISBURSEMENTS,2023-02-07 03:36:06,,,,0.00,,,,,,,,,,,,N,,J,F3X,4013120231721278130,ARLINGTON,22219,CONTRIBUTIONS,,2022,SB,4020620231723350122,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575746313,Transfers to Affiliated/Other Party Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2022,YE,202301319575746314,22,SB22.934316,1686120,PAC,POLITICAL ACTION COMMITTEE,C00762591,C00762591,SAVE AMERICA,VA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,TRANSFER OF NET PROCEEDS,,,2022-12-31 00:00:00,1561119.97,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2023-02-07 03:36:06,,,,0.00,,,,,,,,,,,,N,,J,F3X,4013120231721278130,ARLINGTON,22219,CONTRIBUTIONS,,2022,SB,4020620231723350123,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575746314,Transfers to Affiliated/Other Party Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2022,YE,202301319575746313,22,SB22.930771,1686120,CCM,CAMPAIGN COMMITTEE,C00828541,C00828541,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",VA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,TRANSFER OF NET PROCEEDS,,,2022-11-29 00:00:00,750322.73,P,PRESIDENT,00,P80001571,"TRUMP, DONALD J.",DONALD,TRUMP,J.,,,,,P2024,,PRIMARY,2024,A,ADD,ITEMIZED DISBURSEMENTS,2023-02-07 03:36:06,,,,0.00,,,,,,,,,,,,N,,J,F3X,4013120231721278130,ARLINGTON,22219,CONTRIBUTIONS,,2022,SB,4020620231723350120,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575746313,Transfers to Affiliated/Other Party Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2021,YE,202202119491733431,22,SB22.4588,1568504,PAC,POLITICAL ACTION COMMITTEE,C00580100,C00580100,MAKE AMERICA GREAT AGAIN PAC,VA,,,24G,TRANSFER OUT AFFILIATED,TRANSFER OF NET PROCEEDS,,,2021-12-15 00:00:00,2549385.30,,,,,,,,,,,,,P,,PRIMARY,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2022-03-10 03:49:29.672,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4021120221406528043,ARLINGTON,22219,TRANSFERS,,2022,SB,4030920221460417648,https://docquery.fec.gov/cgi-bin/fecimg/?202202119491733431,Transfers to Affiliated/Other Party Committees,,,,,,
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2022,Q2,202207159521741982,22,SB22.897276,1615128,PAC,POLITICAL ACTION COMMITTEE,C00762591,C00762591,SAVE AMERICA,VA,,,24G,TRANSFER OUT AFFILIATED,TRANSFER OF NET PROCEEDS,,,2022-06-30 00:00:00,5578436.18,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2022-07-19 03:37:56.08,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4071620221540768000,ARLINGTON,22219,TRANSFERS,,2022,SB,4071820221541677900,https://docquery.fec.gov/cgi-bin/fecimg/?202207159521741982,Transfers to Affiliated/Other Party Committees,,,,,,
